>Example/fasta_files/Example.fasta	616	682
Asclepiasaffstandleyi1321-10025	616	683	['54', '53', '52', '52', '53', '54', '55', '56', '56', '56', '54', '57', '57', '57', '55', '54', '54', '53', '50', '52', '52', '51', '51', '50', '50', '50', '51', '51', '50', '49', '49', '49', '48', '48', '49', '49', '49', '50', '50', '49', '48', '45', '44', '44', '44', '43', '44', '46', '46', '47', '47', '48', '49', '50', '50', '46', '44', '44', '43', '44', '44', '44', '41', '40', '39', '40', '40']	606	693	['53', '51', '51', '51', '50', '50', '52', '52', '52', '54', '54', '53', '52', '52', '53', '54', '55', '56', '56', '56', '54', '57', '57', '57', '55', '54', '54', '53', '50', '52', '52', '51', '51', '50', '50', '50', '51', '51', '50', '49', '49', '49', '48', '48', '49', '49', '49', '50', '50', '49', '48', '45', '44', '44', '44', '43', '44', '46', '46', '47', '47', '48', '49', '50', '50', '46', '44', '44', '43', '44', '44', '44', '41', '40', '39', '40', '40', '39', '39', '39', '39', '38', '36', '36', '36', '35', '36']
Asclepiasalbicans003-10025	616	683	['22', '22', '22', '22', '23', '24', '24', '23', '23', '21', '21', '21', '21', '21', '21', '20', '20', '20', '20', '21', '20', '20', '20', '20', '17', '17', '16', '16', '16', '16', '16', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '13', '13', '13', '13', '13', '13', '14', '15', '15', '14', '14', '14', '16', '16', '16', '16', '16', '15', '15', '15', '15', '15', '14', '14']	606	693	['20', '20', '20', '19', '19', '20', '21', '22', '22', '22', '22', '22', '22', '22', '23', '24', '24', '23', '23', '21', '21', '21', '21', '21', '21', '20', '20', '20', '20', '21', '20', '20', '20', '20', '17', '17', '16', '16', '16', '16', '16', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '13', '13', '13', '13', '13', '13', '14', '15', '15', '14', '14', '14', '16', '16', '16', '16', '16', '15', '15', '15', '15', '15', '14', '14', '14', '14', '14', '15', '14', '14', '14', '15', '15', '15']
Asclepiasamplexicaulis1401-10025	616	683	['33', '32', '32', '31', '32', '31', '30', '30', '32', '32', '31', '31', '31', '31', '30', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '30', '30', '31', '30', '30', '31', '31', '31', '32', '32', '32', '32', '32', '33', '32', '32', '31', '31', '29', '29', '28', '29', '32', '32', '32', '31', '31', '32', '31', '31', '31', '28', '29', '30', '31', '32', '34', '33', '34', '33', '34']	606	693	['36', '35', '35', '36', '35', '33', '33', '34', '34', '33', '33', '32', '32', '31', '32', '31', '30', '30', '32', '32', '31', '31', '31', '31', '30', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '28', '30', '30', '31', '30', '30', '31', '31', '31', '32', '32', '32', '32', '32', '33', '32', '32', '31', '31', '29', '29', '28', '29', '32', '32', '32', '31', '31', '32', '31', '31', '31', '28', '29', '30', '31', '32', '34', '33', '34', '33', '34', '35', '34', '33', '33', '33', '32', '31', '31', '32', '34']
Asclepiasarenaria1322-10025	616	683	['55', '55', '56', '54', '54', '56', '55', '55', '52', '50', '50', '51', '50', '49', '49', '48', '48', '48', '47', '48', '48', '48', '48', '50', '52', '53', '52', '53', '53', '53', '53', '55', '56', '57', '57', '59', '61', '60', '58', '60', '58', '60', '61', '59', '59', '61', '61', '57', '58', '56', '57', '57', '57', '58', '57', '54', '55', '55', '55', '54', '55', '58', '57', '58', '56', '56', '56']	606	693	['56', '56', '55', '52', '53', '53', '53', '53', '53', '53', '55', '55', '56', '54', '54', '56', '55', '55', '52', '50', '50', '51', '50', '49', '49', '48', '48', '48', '47', '48', '48', '48', '48', '50', '52', '53', '52', '53', '53', '53', '53', '55', '56', '57', '57', '59', '61', '60', '58', '60', '58', '60', '61', '59', '59', '61', '61', '57', '58', '56', '57', '57', '57', '58', '57', '54', '55', '55', '55', '54', '55', '58', '57', '58', '56', '56', '56', '57', '59', '60', '58', '57', '56', '56', '56', '60', '58']
Asclepiascoulteri823-10025	599	666	['34', '31', '30', '29', '29', '27', '28', '27', '26', '26', '26', '26', '26', '27', '28', '28', '28', '27', '27', '27', '27', '25', '25', '23', '23', '23', '26', '27', '27', '27', '27', '28', '30', '29', '26', '26', '26', '25', '25', '25', '25', '24', '25', '26', '26', '26', '26', '27', '28', '27', '28', '28', '28', '30', '32', '31', '31', '31', '31', '32', '32', '32', '31', '31', '30', '31', '32']	589	676	['43', '43', '44', '44', '43', '42', '40', '38', '36', '34', '34', '31', '30', '29', '29', '27', '28', '27', '26', '26', '26', '26', '26', '27', '28', '28', '28', '27', '27', '27', '27', '25', '25', '23', '23', '23', '26', '27', '27', '27', '27', '28', '30', '29', '26', '26', '26', '25', '25', '25', '25', '24', '25', '26', '26', '26', '26', '27', '28', '27', '28', '28', '28', '30', '32', '31', '31', '31', '31', '32', '32', '32', '31', '31', '30', '31', '32', '33', '32', '31', '31', '31', '31', '32', '32', '32', '32']
Asclepiascurtissii609-10025	610	677	['18', '18', '18', '18', '18', '18', '18', '17', '18', '18', '18', '19', '19', '19', '18', '18', '19', '19', '19', '19', '19', '20', '21', '21', '21', '21', '21', '21', '20', '20', '20', '21', '21', '21', '20', '20', '20', '19', '19', '19', '19', '19', '19', '19', '19', '19', '18', '18', '18', '18', '19', '19', '19', '18', '18', '18', '18', '18', '18', '17', '17', '17', '18', '18', '17', '17', '17']	600	687	['15', '15', '16', '16', '17', '17', '16', '16', '17', '17', '18', '18', '18', '18', '18', '18', '18', '17', '18', '18', '18', '19', '19', '19', '18', '18', '19', '19', '19', '19', '19', '20', '21', '21', '21', '21', '21', '21', '20', '20', '20', '21', '21', '21', '20', '20', '20', '19', '19', '19', '19', '19', '19', '19', '19', '19', '18', '18', '18', '18', '19', '19', '19', '18', '18', '18', '18', '18', '18', '17', '17', '17', '18', '18', '17', '17', '17', '18', '17', '18', '17', '18', '18', '18', '17', '17', '16']
Asclepiaselata856-10025	613	680	['46', '45', '44', '42', '43', '43', '43', '42', '42', '42', '43', '42', '42', '40', '42', '42', '41', '40', '40', '40', '39', '39', '39', '38', '38', '39', '37', '37', '37', '35', '36', '37', '38', '38', '38', '37', '35', '33', '33', '33', '35', '35', '35', '34', '34', '32', '33', '34', '34', '34', '34', '36', '36', '36', '36', '36', '36', '39', '38', '38', '38', '40', '39', '38', '38', '38', '39']	603	690	['53', '54', '54', '52', '52', '52', '52', '51', '49', '47', '46', '45', '44', '42', '43', '43', '43', '42', '42', '42', '43', '42', '42', '40', '42', '42', '41', '40', '40', '40', '39', '39', '39', '38', '38', '39', '37', '37', '37', '35', '36', '37', '38', '38', '38', '37', '35', '33', '33', '33', '35', '35', '35', '34', '34', '32', '33', '34', '34', '34', '34', '36', '36', '36', '36', '36', '36', '39', '38', '38', '38', '40', '39', '38', '38', '38', '39', '39', '38', '38', '39', '40', '40', '40', '40', '41', '42']
Asclepiasemoryi952-10025	556	623	['37', '38', '38', '39', '36', '37', '37', '37', '36', '36', '36', '36', '36', '36', '36', '37', '37', '37', '39', '40', '39', '39', '39', '39', '38', '37', '37', '37', '36', '38', '38', '38', '38', '39', '39', '41', '42', '42', '43', '43', '44', '43', '44', '44', '44', '46', '45', '45', '46', '47', '47', '49', '50', '50', '49', '49', '49', '49', '51', '52', '52', '53', '54', '54', '55', '56', '55']	546	633	['42', '40', '41', '41', '41', '40', '40', '40', '36', '38', '37', '38', '38', '39', '36', '37', '37', '37', '36', '36', '36', '36', '36', '36', '36', '37', '37', '37', '39', '40', '39', '39', '39', '39', '38', '37', '37', '37', '36', '38', '38', '38', '38', '39', '39', '41', '42', '42', '43', '43', '44', '43', '44', '44', '44', '46', '45', '45', '46', '47', '47', '49', '50', '50', '49', '49', '49', '49', '51', '52', '52', '53', '54', '54', '55', '56', '55', '56', '54', '54', '55', '55', '55', '57', '57', '55', '55']
Asclepiaserosa70-10025	597	664	['11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '12', '12', '12', '12', '13', '13', '13', '13', '13', '13', '13', '12', '14', '14', '14', '14', '16', '16', '16', '15', '15', '15', '15', '15', '14', '14', '15', '16', '16', '18', '19', '18', '18', '18', '18', '18', '18', '18', '17', '17', '17', '17', '17', '17', '18', '18', '19', '19', '19', '19', '19', '19', '19', '19', '19', '20', '21']	587	674	['10', '11', '11', '11', '12', '12', '12', '12', '10', '10', '11', '11', '11', '11', '11', '11', '11', '11', '11', '11', '12', '12', '12', '12', '13', '13', '13', '13', '13', '13', '13', '12', '14', '14', '14', '14', '16', '16', '16', '15', '15', '15', '15', '15', '14', '14', '15', '16', '16', '18', '19', '18', '18', '18', '18', '18', '18', '18', '17', '17', '17', '17', '17', '17', '18', '18', '19', '19', '19', '19', '19', '19', '19', '19', '19', '20', '21', '19', '19', '19', '18', '20', '20', '20', '20', '20', '19']
Asclepiashirtella1399-10025	613	680	['52', '51', '51', '51', '51', '51', '51', '51', '51', '50', '49', '50', '50', '52', '56', '56', '55', '56', '56', '59', '60', '60', '59', '60', '60', '61', '61', '61', '61', '61', '61', '59', '58', '55', '54', '55', '51', '50', '50', '49', '49', '49', '50', '51', '50', '49', '49', '48', '48', '50', '51', '50', '50', '49', '50', '49', '50', '49', '52', '50', '51', '52', '52', '53', '54', '55', '53']	603	690	['58', '57', '57', '58', '57', '56', '55', '54', '54', '53', '52', '51', '51', '51', '51', '51', '51', '51', '51', '50', '49', '50', '50', '52', '56', '56', '55', '56', '56', '59', '60', '60', '59', '60', '60', '61', '61', '61', '61', '61', '61', '59', '58', '55', '54', '55', '51', '50', '50', '49', '49', '49', '50', '51', '50', '49', '49', '48', '48', '50', '51', '50', '50', '49', '50', '49', '50', '49', '52', '50', '51', '52', '52', '53', '54', '55', '53', '53', '53', '52', '53', '54', '54', '54', '53', '53', '53']
